Museum,Kpi,Number_of_visitors,Date,Comments,Date_Logged,ObjectId,date,self_counts,total_counts,likes_counts,retweet_counts,neutral_counts,positive_counts,negative_counts,Sentiment_value,day,weekend
Bristol Museum,visits,551.0,2017-11-16,,2017/11/17 15:08:49.004+00,1272,2017-11-16,4.0,2.0,26.0,17.0,0.0,2.0,0.0,0.3182,Thursday,False
Bristol Museum,visits,744.0,2017-11-17,,2017/12/02 13:56:03.193+00,1251,2017-11-17,7.0,2.0,31.0,26.0,1.0,1.0,0.0,0.3592,Friday,False
Bristol Museum,visits,2947.0,2017-11-18,,2017/12/02 13:55:36.814+00,1227,2017-11-18,6.0,3.0,28.0,18.0,2.0,1.0,0.0,0.13996666666666666,Saturday,True
Bristol Museum,visits,2102.0,2017-11-19,,2017/12/02 13:55:10.719+00,1555,2017-11-19,2.0,1.0,9.0,4.0,0.0,1.0,0.0,0.8225,Sunday,True
Bristol Museum,visits,876.0,2017-11-21,,2017/12/02 13:54:40.846+00,1548,2017-11-21,2.0,1.0,15.0,6.0,1.0,0.0,0.0,0.0,Tuesday,False
Bristol Museum,visits,756.0,2017-11-22,,2017/12/02 13:54:15.118+00,1544,2017-11-22,2.0,4.0,12.0,5.0,1.0,3.0,0.0,0.598,Wednesday,False
Bristol Museum,visits,618.0,2017-11-23,,2017/12/02 13:53:45.920+00,1542,2017-11-23,3.0,4.0,14.0,11.0,3.0,0.0,1.0,-0.06785,Thursday,False
Bristol Museum,visits,764.0,2017-11-24,,2017/12/02 13:44:39.230+00,1539,2017-11-24,1.0,5.0,26.0,15.0,3.0,2.0,0.0,0.22616,Friday,False
Bristol Museum,visits,1304.0,2017-11-25,,2017/12/02 13:43:48.086+00,1536,2017-11-25,3.0,2.0,7.0,2.0,1.0,0.0,1.0,-0.11315,Saturday,True
Bristol Museum,visits,1415.0,2017-11-26,,2017/12/02 13:42:21.039+00,1531,2017-11-26,1.0,4.0,2.0,4.0,3.0,1.0,0.0,0.0625,Sunday,True
Bristol Museum,visits,840.0,2017-11-28,,2017/12/02 13:41:28.890+00,1518,2017-11-28,1.0,3.0,17.0,19.0,0.0,3.0,0.0,0.5627666666666666,Tuesday,False
Bristol Museum,visits,709.0,2017-11-29,,2017/12/02 13:40:43.361+00,1504,2017-11-29,2.0,3.0,20.0,12.0,1.0,2.0,0.0,0.3999333333333333,Wednesday,False
Bristol Museum,visits,599.0,2017-11-30,,2017/12/02 13:38:24.071+00,1488,2017-11-30,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,Thursday,False
Bristol Museum,visits,674.0,2017-12-01,,2017/12/02 14:00:02.950+00,1472,2017-12-01,2.0,1.0,15.0,11.0,0.0,1.0,0.0,0.7906,Friday,False
Bristol Museum,visits,1320.0,2017-12-02,,2017/12/03 09:16:17.869+00,1460,2017-12-02,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,Saturday,True
Bristol Museum,visits,881.0,2017-12-03,,2017/12/29 15:50:30.325+00,1381,2017-12-03,2.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,Sunday,True
Bristol Museum,visits,671.0,2017-12-05,,2017/12/29 15:49:54.796+00,1374,2017-12-05,3.0,1.0,15.0,16.0,1.0,0.0,0.0,0.0,Tuesday,False
Bristol Museum,visits,714.0,2017-12-06,,2017/12/29 15:49:25.566+00,1370,2017-12-06,3.0,2.0,25.0,15.0,1.0,1.0,0.0,0.1366,Wednesday,False
Bristol Museum,visits,749.0,2017-12-07,,2017/12/29 15:48:44.145+00,1367,2017-12-07,3.0,2.0,18.0,11.0,1.0,0.0,1.0,-0.38915,Thursday,False
Bristol Museum,visits,794.0,2017-12-08,,2017/12/29 15:47:58.641+00,1363,2017-12-08,4.0,1.0,31.0,10.0,0.0,1.0,0.0,0.9348,Friday,False
Bristol Museum,visits,1161.0,2017-12-09,,2017/12/29 15:47:28.813+00,1352,2017-12-09,2.0,3.0,12.0,13.0,2.0,1.0,0.0,0.25020000000000003,Saturday,True
Bristol Museum,visits,512.0,2017-12-10,,2017/12/29 15:47:05.915+00,1328,2017-12-10,4.0,1.0,12.0,5.0,1.0,0.0,0.0,0.0,Sunday,True
Bristol Museum,visits,385.0,2017-12-12,,2017/12/29 15:46:28.210+00,1231,2017-12-12,3.0,3.0,19.0,8.0,1.0,1.0,1.0,0.0992,Tuesday,False
Bristol Museum,visits,572.0,2017-12-13,,2017/12/29 15:46:01.160+00,1213,2017-12-13,3.0,1.0,7.0,7.0,0.0,1.0,0.0,0.7177,Wednesday,False
Bristol Museum,visits,473.0,2017-12-14,,2017/12/29 15:45:33.516+00,1206,2017-12-14,4.0,0.0,8.0,6.0,0.0,0.0,0.0,,Thursday,False
Bristol Museum,visits,771.0,2017-12-15,,2017/12/29 15:45:05.349+00,1201,2017-12-15,12.0,1.0,82.0,41.0,0.0,1.0,0.0,0.6369,Friday,False
