Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-10T13:52:37.000Z,False,Check out our creative courses for young people and teenagers! Challenge their minds and let their talent shine! ^kd,0,6,2,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895644054914035712,tweet_id:895644054914035712
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-10T08:26:51.000Z,False,"Thanks Tony, we have some on display in our Curiosity Gallery, there are also Drawing Days, store tours and other events check the web site!",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895562073874321408,tweet_id:895562073874321408
The i paper,@theipaper,2017-08-09T19:47:47.000Z,True,The Bristol museum that hosted dissections and housed young offenders http://trib.al/zpjJgYK,0,1,0,0,[],[],[],https://pbs.twimg.com/profile_images/1332292729657815040/Ghi84urE_normal.jpg,https://x.com/theipaper/status/895371045645021185,tweet_id:895371045645021185
The i paper,@theipaper,2017-08-09T19:11:04.000Z,True,This Bristol museum hosted dissections and housed young offenders http://trib.al/brbrsyB,0,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1332292729657815040/Ghi84urE_normal.jpg,https://x.com/theipaper/status/895361806750932994,tweet_id:895361806750932994
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-09T17:12:53.000Z,False,It's the third of our Summer Walks tonight with writer  who is leading us on a history tour of Old Market ^kg,0,3,2,0,[],['@EdsonBurton'],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895332063284305920,tweet_id:895332063284305920
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-09T16:20:03.000Z,False,Two of our Youth Panel members Kirsten & Zac are working on their Silver Arts Award. They made this film and would love your feedback. ^lt,0,3,4,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895318769844723714,tweet_id:895318769844723714
((( ● ))),@shanedgj,2017-08-09T15:54:01.000Z,False,The Bristol museum that hosted dissections and housed young offenders https://inews.co.uk/?p=81249,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1416414032056274950/XhJhdugr_normal.jpg,https://x.com/shanedgj/status/895312219612819456,tweet_id:895312219612819456
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-09T15:30:42.000Z,False,we celebrate #IndigenousPeoplesDay everyday through our World Cultures collections #respect #diversity #reconciliation #materialculture ^LG,0,1,3,0,"['#IndigenousPeoplesDay', '#respect', '#diversity', '#reconciliation', '#materialculture']",[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895306350577799170,tweet_id:895306350577799170
Joe Sheppard,@suatainable,2017-08-09T12:03:06.000Z,False,Bristol museum has always been my favourite place to go growing up in #Bristol. It's a place that has grown my passion to discover.,0,0,0,0,['#Bristol'],[],[],https://pbs.twimg.com/profile_images/895258350509846529/80H8gbqD_normal.jpg,https://x.com/suatainable/status/895254105681272834,tweet_id:895254105681272834
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-09T11:01:04.000Z,False,"#BookLoversDay We've got Bristol, Banksy, Design, Dinosaurs & many more page turners available instore & online. https://shop.bristolmuseums.org.uk/collections/books…",0,2,1,0,['#BookLoversDay'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/895238495131893761,tweet_id:895238495131893761
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-08T11:30:27.000Z,False,"#InternationalCatDay c.1752, this feline friend can be found in the Wills Hall here at the museum. ^lt",0,3,6,0,['#InternationalCatDay'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/894883499789787136,tweet_id:894883499789787136
Heather Tweed,@heathertweed,2017-08-08T07:58:32.000Z,False,Here she is with her mother. Bristol Museum has several works on show museums.bristol.gov.uk/narratives.php?irn=3275…,0,0,1,0,[],[],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1724785880295219200/617kDot8_normal.jpg,https://x.com/heathertweed/status/894830170892378112,tweet_id:894830170892378112
Robyn,@anactual1diot,2017-08-07T19:16:58.000Z,False,Why don't IKEA sell plates with titties out tho??  @ Bristol Museum & Art Gallery https://instagram.com/p/BXgQWrxFrAp/,0,0,2,0,[],[],"['\\U0001f44c', '\\U0001f44c']",https://pbs.twimg.com/profile_images/1354958505250353158/oevoS3wJ_normal.jpg,https://x.com/anactual1diot/status/894638515471867904,tweet_id:894638515471867904
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-07T16:40:11.000Z,False,World Cultures Drawing Day Aug 20 - what will you discover behind the scenes? https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/world-cultures-drawing-day/…,0,2,0,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/894599060195299328,tweet_id:894599060195299328
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-07T15:10:19.000Z,False,"Join us for a fun-filled day, turning imagination into reality #SummerArtAttack https://bristolmuseums.org.uk/bristol-museum-and-art-gallery/whats-on/summer-art-attack/…",0,4,7,0,['#SummerArtAttack'],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/894576445095325697,tweet_id:894576445095325697
Bristol Museum & Art Gallery,@bristolmuseum,2017-08-07T12:51:46.000Z,False,Hello Pliosaurus! is listed as 'Pay What You Think' giving you freedom to decide how much the show is worth to you after your visit. ^GB,1,0,1,0,[],[],[],https://pbs.twimg.com/profile_images/1640727064431980545/D8fmLOQK_normal.jpg,https://x.com/bristolmuseum/status/894541575971377153,tweet_id:894541575971377153
